pregunta,deberia_abstenerse,mejor_similitud
¿Qué proceso hay en Cusco para el alquiler de un cargador frontal en una obra de mejoramiento de carretera?,False,0.871
¿Se compró algún videoendoscopio descartable para el Hospital Sergio Bernales?,False,0.8834
Servicio de vales de consumo con tarjetas electrónicas para el Despacho Presidencial,False,0.9181
Compra de piedra chancada para transitabilidad vial en Puno,False,0.907
Adquisición de enseres de ferretería para asistencia humanitaria por riesgo de desastres en Arequipa,False,0.8955
Obras de mantenimiento vial en Arequipa por encima de un millón de soles,False,0.865
Consultoría para elaborar el expediente técnico de un centro de salud en Junín,False,0.8919
Obras en Junín para mejorar un local comunal,False,0.8762
Compra de leche evaporada para un programa de alimentación en Piura,False,0.8832
Obras de movilidad urbana en Piura por encima de 5 millones de soles,False,0.8713
Obra de renovación de pistas en Loreto,False,0.8786
Mantenimiento del área de movimiento del Aeropuerto Internacional en Callao,False,0.866
¿Cómo cocino un ceviche peruano?,True,0.8275
¿Quién ganó la última Copa Mundial de fútbol?,True,0.7836
¿Cuál es la capital de Francia?,True,0.7839
Construcción de una base permanente en la Luna,True,0.8349
Procesos de contratación pública del año 1998,True,0.8572
Compra de vacunas contra el COVID-19 durante la pandemia de 2020,True,0.8776
Servicios de traducción simultánea al mandarín para una cumbre diplomática,True,0.8692
Adquisición de satélites de observación espacial,True,0.8826
